[INFO ] [2017-10-09 16:08:20] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onTestSuccess, line: 21, msg: Test method :testGmailFunctionality result was success
[INFO ] [2017-10-09 16:08:26] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: waitForWrongMessageElement, line: 70, msg: Tried to wait for sing in wrong message. Wrong sign in message wasn't detected
[INFO ] [2017-10-09 16:08:27] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: writeLetter, line: 57, msg: Compose button was clicked
[INFO ] [2017-10-09 16:08:31] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: writeLetter, line: 63, msg: Letter successfully was written
[INFO ] [2017-10-09 16:08:31] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: writeLetter, line: 67, msg: Letter was closed
[INFO ] [2017-10-09 16:08:31] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: getLettersFromSection, line: 117, msg: Navigate to: https://mail.google.com/mail/#drafts
[INFO ] [2017-10-09 16:08:32] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: isSavedInSection, line: 93, msg: Message successfully saved in Черновики (22)
[INFO ] [2017-10-09 16:08:34] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: sendLetterFromDraft, line: 110, msg: Message from draft successfully sent
[INFO ] [2017-10-09 16:08:35] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: getLettersFromSection, line: 117, msg: Navigate to: https://mail.google.com/mail/#sent
[INFO ] [2017-10-09 16:08:35] file: GmailHomePage.java, class: com.epam.lab.gmailframework.pageobjects.GmailHomePage, method: isSavedInSection, line: 93, msg: Message successfully saved in Отправленные
[INFO ] [2017-10-09 16:08:35] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onTestSuccess, line: 21, msg: Test method :testGmailFunctionality result was success
[INFO ] [2017-10-09 16:08:37] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onFinish, line: 56, msg: Passed tests: [ResultMap map={[TestResult name=testGmailFunctionality status=SUCCESS method=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813] output=Test method has started running: testGmailFunctionality]=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813], [TestResult name=testGmailFunctionality status=SUCCESS method=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813] output=Test method has started running: testGmailFunctionality]=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813], [TestResult name=testGmailFunctionality status=SUCCESS method=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813] output=Test method has started running: testGmailFunctionality]=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813]}]
[INFO ] [2017-10-09 16:08:37] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onFinish, line: 59, msg: Failed tests: [ResultMap map={[TestResult name=testGmailFunctionality status=FAILURE method=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813] output=Test method has started running: testGmailFunctionality]=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813], [TestResult name=testGmailFunctionality status=FAILURE method=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813] output=Test method has started running: testGmailFunctionality]=GmailTest.testGmailFunctionality(com.epam.lab.gmailframework.models.User)[pri:0, instance:com.epam.lab.gmailframework.GmailTest@6321e813]}]
[INFO ] [2017-10-09 16:08:37] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onFinish, line: 74, msg: The end executing suite: TestNG suite 
[INFO ] [2017-10-09 16:09:26] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onStart, line: 67, msg: Begin executing suite: TestNG suite 
[INFO ] [2017-10-09 16:09:26] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onStart, line: 49, msg: About to begin executing test: GmailTestSuite
[INFO ] [2017-10-09 16:09:27] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onTestStart, line: 14, msg: Test method has started running: testGmailFunctionality
[INFO ] [2017-10-09 16:09:27] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onTestStart, line: 14, msg: Test method has started running: testGmailFunctionality
[INFO ] [2017-10-09 16:09:27] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onTestStart, line: 14, msg: Test method has started running: testGmailFunctionality
[INFO ] [2017-10-09 16:09:27] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onTestStart, line: 14, msg: Test method has started running: testGmailFunctionality
[INFO ] [2017-10-09 16:09:27] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onTestStart, line: 14, msg: Test method has started running: testGmailFunctionality
[INFO ] [2017-10-09 16:09:30] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: <init>, line: 33, msg: Starting browser
[INFO ] [2017-10-09 16:09:33] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: <init>, line: 33, msg: Starting browser
[INFO ] [2017-10-09 16:09:35] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: <init>, line: 33, msg: Starting browser
[INFO ] [2017-10-09 16:09:52] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: <init>, line: 38, msg: Navigate to: https://www.google.com/intl/ua/gmail/about/
[INFO ] [2017-10-09 16:09:56] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: <init>, line: 43, msg: Navigate to: https://accounts.google.com/AccountChooser?service=mail&continue=https://mail.google.com/mail/
[INFO ] [2017-10-09 16:09:56] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: typeLoginAndSubmit, line: 49, msg: Entering credentials...
[INFO ] [2017-10-09 16:09:56] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: <init>, line: 38, msg: Navigate to: https://www.google.com/intl/ua/gmail/about/
[INFO ] [2017-10-09 16:09:58] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: <init>, line: 43, msg: Navigate to: https://accounts.google.com/AccountChooser?service=mail&continue=https://mail.google.com/mail/
[INFO ] [2017-10-09 16:09:58] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: typeLoginAndSubmit, line: 49, msg: Entering credentials...
[INFO ] [2017-10-09 16:10:01] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: <init>, line: 38, msg: Navigate to: https://www.google.com/intl/ua/gmail/about/
[INFO ] [2017-10-09 16:10:01] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: waitForWrongMessageElement, line: 70, msg: Tried to wait for sing in wrong message. Wrong sign in message wasn't detected
[INFO ] [2017-10-09 16:10:02] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: <init>, line: 43, msg: Navigate to: https://accounts.google.com/AccountChooser?service=mail&continue=https://mail.google.com/mail/
[INFO ] [2017-10-09 16:10:02] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: typeLoginAndSubmit, line: 49, msg: Entering credentials...
[INFO ] [2017-10-09 16:10:04] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: waitForWrongMessageElement, line: 70, msg: Tried to wait for sing in wrong message. Wrong sign in message wasn't detected
[ERROR] [2017-10-09 16:10:05] file: GmailLoginPage.java, class: com.epam.lab.gmailframework.pageobjects.GmailLoginPage, method: verifyWrongMessage, line: 81, msg: Gmail error message: Wrong password. Try again.
[ERROR] [2017-10-09 16:10:05] file: TestNGListener.java, class: com.epam.lab.gmailframework.utils.testreporting.TestNGListener, method: onTestFailure, line: 29, msg: Test method :testGmailFunctionality result was failure
